Anh,Việt,spawning,đẻ trứng
Anh,Việt,Mitigations,Giảm nhẹ
Anh,Việt,paradigm,mô hình
Việt,Anh,Người tham gia,Participants
Anh,Việt,intervention,sự can thiệp
Anh,Việt,dilemma,tình trạng khó xử
Anh,Việt,accommodate,thích nghi
Anh,Việt,adjacency,gần kề
Anh,Việt,aggregation,tập hợp
Anh,Việt,ingest,ăn vào
Anh,Việt,Aerial,Trên không
Anh,Việt,ubiquitous,phổ cập
Anh,Việt,probabilistic,xác suất
Anh,Việt,discipline,kỷ luật
Anh,Việt,stale,cũ
Anh,Việt,tailored,phù hợp
Anh,Việt,versatility,tính linh hoạt
Anh,Việt,Compilation,Tổng hợp
Anh,Việt,tremendous,to lớn
Anh,Việt,magnitude,độ lớn
Anh,Việt,arbitrary,Bất kỳ
Anh,Việt,traverse,đi qua
Anh,Việt,culmination,cực điểm
Anh,Việt,trivial,không đáng kể
Anh,Việt,demystifying,làm sáng tỏ
Anh,Việt,phenomenon,hiện tượng
Anh,Việt,companion,đồng hành
Anh,Việt,dominant,có ưu thế
Anh,Việt,cohesiveness,sự gắn kết
Anh,Việt,Descriptive,Mô tả
Anh,Việt,Intuitive,Trực giác
Anh,Việt,Forgery,Giả mạo
Anh,Việt,discreetly,kín đáo
Anh,Việt,Demystifying,Làm sáng tỏ
Anh,Việt,bastard,đồ khốn
Anh,Việt,figurative,nghĩa bóng
Anh,Việt,literal,theo nghĩa đen
Anh,Việt,discriminate,phân biệt
Anh,Việt,diagrammatic,theo sơ đồ
Anh,Việt,underlying,cơ bản
Anh,Việt,barebones,xương trần
